Comedia venatoria
Luis de Góngora y Argote.


Los que hablan en ella son:				
CUPIDO				
SILVIO				
FLORISCIO				
CAMILA				
CINTIA				

				
(Sale CUPIDO.)				
CUPIDO	 Aunque en humildes paños escondido			
	ten de ese hilo, y verás	210		
	cuán grande maestra soy			
	 de torcer cuerdas. Ea, ten.			
CINTIA	No me detengas.			
CAMILA	 Ea, acaba.			
CINTIA	Bien hallaré yo mi aljaba			
	desta suerte.			
CAMILA	 Tuerce bien.	215		
(Salen SILVIO y FLORISCIO.)				
SILVIO	 ¡Mi Cintia!			
FLORISCIO	 ¡Camila bella!			
CAMILA	Ay, ¿qué nos ha salteado?			
SILVIO	Quien escondido ha escuchado			
	de cada cual la querella.			
CINTIA	 ¿Y della, que habéis sentido,	220		
	o al menos de mi cuidado?			
SILVIO	Siento de él, que me ha cobrado			
	la aljaba que has hoy perdido.			
CINTIA	 ¿Cómo así?			
SILVIO	 Cintia hermosa,			
	sirviéndote de esta mía	225		
	y de este arco, que algún día			
	trujo tu mano envidiosa.			
CINTIA	 El don, Silvio, es tan galano,			
	que en tomarlo anda ya cuerda,			
	puesto que la aljaba pierda	230		
	tal hombro, el arco tal mano.			
	 Mas no se dirá de mí			
	que a los dos fui tan cruel,			
	a ti en desarmarte de él,			
	a él en quitarlo de ti.	235		
FLORISCIO	 Pues sea de aqueste modo:			
	que si te da Silvio el suyo,			
	tú le des el arco tuyo;			
	ganarás tú, y él, y todo.			
CINTIA	 De esa suerte lo haré,	240		
	por tu gusto y mi reposo.			
SILVIO	¡O yo mil veces dichoso,			
	que tal merced alcancé!			
CAMILA	 No sé, Cintia, qué te diga;			
	gana tenías de trocar.	245		
CINTIA	Tú no sabes qué es buscar			
	en el monte con fatiga			
	 y el trabajo que andar es			
	por esa espesura brava,			
	donde hallara la aljaba	250		
	y me dejara los pies.			
	 Esto aun es cuando se halla:			
	mira tú si hiciera mal			
	en trocar por un don tal			
	el trabajo de buscalla.	255		
SILVIO	 Por solo que no te arguya			
	Camila más de pecado,			
	ora de fuerza o de grado			
	le has de hacer trocar la suya			
	 y el arco, aunque esté rompido,	260		
	con Floriscio.			
FLORISCIO	 Haz que quiera,			
	Cintia, de cualquier manera.			
	¿Trocarás si te lo pido,			
	 Camila?			
CAMILA	 No, en buena fe.			
FLORISCIO	¿El porqué no me dirás?	265		
CAMILA	Floriscio, no sepas mas			
	de que es mi gusto el porqué.			
	 Pero tú dime qué ganas			
	en ello, que así porfías.			
FLORISCIO	Tener yo cosa en las mías	270		
	de tus manos soberanas,			
	 y armas que del corazón			
	con la sangre yo bañé.			
CAMILA	Floriscio, grande es tu fe;			
	trueca, mas con condición	275		
	 que me digas si ha llegado			
	el Príncipe, que deseo			
	saber ya nuevas de él.			
SILVIO	 Creo			
	que ya en la montaña ha entrado.			
FLORISCIO	 ¡Oh arco de mi consuelo,	280		
	do se pusieron mil veces			
	tales manos: bien mereces			
	ser llamado arco del cielo,			
	 pues el mesmo efecto tienes,			
	causando en nuestros amores	285		
	serenidad de favores			
	tras tempestad de desdenes!			
CINTIA	 Floriscio, déjate de eso,			
	que nadie te ha de querer,			
	y lo que puedes hacer	290		
	en pago del buen suceso,			
	 es llevarte a Silvio luego,			
	y ambos dejarnos aquí			
	a tu Camila y a mí.			
SILVIO	Hágase de Cintia el ruego,	295		
	 aunque por ello perdamos			
	su dulce conversación.			
FLORISCIO	Acá dejo el corazón;			
	pero voyme.			
CAMILA	 Presto.			
SILVIO	 Vamos.			
(Vanse y quedan las dos solas.)				
CINTIA	 A trueco de verlos idos,	300		
	como soy la que interesa,			
	sé decir que no me pesa			
	que vayan favorecidos.			
CAMILA	 Allá vayan, y tú ahora			
	me cuenta, porque es extraño,	305		
	de Daliso el dulce engaño			
	con su ingrata cazadora.			
CINTIA	 Ayer te lo comencé			
	a contar y hice pausa,			
	no me acuerdo por qué causa;	310		
	óyelo, que es bueno a fe:			
	 de un lantisco, cuyas hojas			
	sombra daban, y sus ramos			
	ganchos de donde colgamos			
	los arcos, las cuerdas flojas,	315		
	 al verde pie recostadas,			
	que alivio y sombra nos dio,			
	estábamos Clori y yo			
	calurosas y cansadas,			
	 y adormecidas después	320		
	al son de un lento arroyuelo,			
	que bañaba el verde suelo			
	y a las dos casi los pies.			
	 Una solícita abeja,			
	sin tener en mi mancilla,	325		
	maltratada en la mejilla			
	y dolorosa me deja.			
	 Diome, aunque breve, el tormento			
	tan terrible la picada,			
	que, a mis quejas alterada,	330		
	Clori despertó al momento			
	 y con gana de burlar			
	me dijo: «No estés quejosa,			
	que teniéndote por rosa			
	muy bien te pudo picar;	335		
	 porque tal estás agora,			
	que la abeja te juzgó			
	por rosa que se cayó			
	del rojo seno a la Aurora;			
	 y aun la más fresca de aquéllas	340		
	de que ella ciñe su frente,			
	cuando vierte desde Oriente			
	bello aljófar, perlas bellas;			
	 y así, perdónale el daño,			
	pues las dos ganáis de un arte:	345		
	ella dulzura en picarte			
	y tú alabanza en su engaño.			
	 Pero si te da tal pena			
	la picada, bien sé yo			
	palabras que me enseñó	350		
	la gran mágica Filena:			
	 que mordiendo la picada			
	tres veces, y dichas quedo,			
	hacerte con ellas puedo			
	que el dolor sea poco o nada».	355		
